"vehicle_id","miles_used","color","engine_type","transmission_type","number_of_seats"
27555,,"Black","Electric (Battery-powered)","PowerSplit: Electronic continuously variable transmission",5
137226,,"Grey","Electric (Battery-powered)","Automatic",5
721024,,"Black","Gasoline (V6)","9-speed automatic",5
532507,,"Black","V6","10-speed automatic",8
327263,,"Grey","Gasoline (V6)","8-speed shiftable automatic",7
467471,,"White","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
281906,,"Red","Gasoline (V6)","8-speed shiftable automatic",7
59119,44983,"White","Gas/Electric I-4","CVT w/OD",5
8112,,"Silver","Gas (V6)","8-speed shiftable automatic",7
731275,,"Red","Gas/Electric I-4","CVT",5
6055,,"White","Gas","6-speed shiftable automatic",5
526588,,"Black","Gasoline (V6)","Xtronic CVT®",5
774443,50867,"Silver","Gas (V6)","9-speed automatic",5
852526,,"Black","V6","10-speed automatic",8
907420,,"White","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
853022,,"White","Electric (Battery-powered)","Automatic",5
76364,,"Black","Gasoline (V6)","Xtronic CVT®",5
746939,,"White","Gasoline (V6)","8-speed shiftable automatic",7
858719,71230,"White","Turbocharged Gas I4","6-speed automatic",3
145976,64498,"Black","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
651312,35550,"Grey","Gas","10-speed shiftable automatic",5
748326,,"Grey","Gasoline (I-4)","Continuously variable-speed automatic",5
190985,20313,"White","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
647856,,"Black","Turbocharged Gas I4","6-speed automatic",3
254400,50766,"Black","Electric (Battery-powered)","Automatic",5
963990,,"Grey","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
913455,,"White","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
190109,,"Red","Gasoline (V6)","8-speed shiftable automatic",7
850461,,"Black","Electric (Battery-powered)","Automatic",5
841796,,"Red","Gasoline (V6)","8-speed shiftable automatic",7
733167,,"Navy Blue","Gasoline (I-4)","CVT",5
713714,,"Silver","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
815023,,"Silver","Gas/Electric I-4","CVT",5
650590,74040,"Black","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
118215,,"Black","Electric (Battery-powered)","Automatic",5
713171,,"Black","Gas","10-speed shiftable automatic",5
799555,,"Navy Blue","Electric (Battery-powered)","PowerSplit: Electronic continuously variable transmission",5
464620,,"Black","Gas","8-speed automatic",5
907473,,"Red","Electric (Battery-powered)","Automatic",5
911828,,"Black","Gasoline (V6)","Xtronic CVT®",5
933862,,"White","Gasoline (I-4)","Continuously variable-speed automatic",5
673445,,"Navy Blue","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
173409,,"Red","Gasoline (I-4)","CVT",5
629843,14262,"White","Turbocharged Gas 3-Cyl","6-speed automatic",5
422984,,"Navy Blue","Electric (Battery-powered)","PowerSplit: Electronic continuously variable transmission",5
867027,,"Red","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
575794,,"Black","Gas/Electric I-4","CVT w/OD",5
846780,,"Navy Blue","Turbocharged Gas 3-Cyl","6-speed automatic",5
292153,71340,"Silver","Gas (V6)","9-speed automatic",5
643043,,"Grey","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
398222,53020,"Grey","Turbocharged Gas I4","8-speed automatic",5
407319,60927,"Black","Turbocharged Gas 3-Cyl","6-speed automatic",5
997235,43198,"Navy Blue","V6","10-speed automatic",8
636316,32377,"Navy Blue","Gasoline (V6)","9-speed automatic",5
176229,,"Red","Electric (Battery-powered)","Automatic",5
363499,,"Navy Blue","Gas/Electric I-4","CVT",5
863989,,"Red","Gasoline (V6)","8-speed shiftable automatic",7
931112,,"Grey","Gasoline (V6)","8-speed shiftable automatic",7
485968,,"Grey","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
917586,,"Red","Electric (Battery-powered)","PowerSplit: Electronic continuously variable transmission",5
101421,,"Black","Gasoline (V6)","9-speed automatic",5
449457,,"White","Gasoline (V6)","8-speed shiftable automatic",7
671181,,"Grey","Turbocharged Gas I4","6-speed automatic",3
815487,,"Grey","Turbocharged Gas I4","8-speed automatic",5
383811,15523,"Grey","Gas","10-speed shiftable automatic",5
560780,,"White","Turbocharged Gas 3-Cyl","6-speed automatic",5
926616,,"Grey","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
275342,,"Navy Blue","Gasoline (V6)","9-speed automatic",5
455293,,"Silver","Turbocharged Gas 3-Cyl","6-speed automatic",5
879862,,"Black","V6","10-speed automatic",8
416549,,"Navy Blue","Gasoline (I-4)","Continuously variable-speed automatic",5
91625,10093,"Red","Gas (V6)","8-speed shiftable automatic",7
179620,,"Silver","Gasoline (V6)","8-speed shiftable automatic",7
639924,,"Black","V6","10-speed automatic",8
881565,,"Silver","Gas (V6)","9-speed automatic",5
25328,,"Grey","Gasoline (V6)","8-speed shiftable automatic",7
699539,,"Black","Gas/Electric I-4","CVT w/OD",5
830107,,"White","Gasoline (I-4)","CVT",5
132311,,"White","Gas/Electric I-4","CVT w/OD",5
584537,,"Navy Blue","Gasoline (V6)","Xtronic CVT®",5
203889,,"White","Gasoline (V6)","9-speed automatic",5
153543,,"Navy Blue","Gas/Electric I-4","CVT",5
831544,,"Navy Blue","V6","10-speed automatic",8
225780,,"Black","Turbocharged Gas I4","6-speed automatic",3
575007,,"Navy Blue","Gasoline (I-4)","CVT",5
909978,35726,"Red","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
872934,,"White","Gas","10-speed shiftable automatic",5
399551,,"Red","V6","10-speed automatic",8
607873,,"White","Gas/Electric I-4","CVT w/OD",5
653675,,"Black","Gas","6-speed shiftable automatic",5
952300,,"Red","Gas","6-speed shiftable automatic",5
56563,31553,"White","Gas","6-speed shiftable automatic",5
484305,,"White","Gasoline (V6)","Xtronic CVT®",5
747371,,"White","Turbocharged Gas I4","6-speed automatic",3
685036,,"Black","Gas","6-speed shiftable automatic",5
103954,,"Black","Gas","10-speed shiftable automatic",5
651182,,"Black","Gasoline (V6)","8-speed shiftable automatic",7
710838,,"Red","V6","10-speed automatic",8
465876,75023,"Red","Gas/Electric I-4","CVT",5
3462,,"Grey","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
351377,,"Navy Blue","Gas/Electric I-4","CVT",5
895294,,"Green","Gas","8-speed automatic",5
695234,,"Black","Gas (V6)","9-speed automatic",5
999541,,"Red","Gasoline (I-4)","Continuously variable-speed automatic",5
461792,16808,"Red","V6","10-speed automatic",8
11278,39250,"Grey","V6","10-speed automatic",8
706866,28798,"Grey","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
929987,,"White","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
341706,,"Red","Gas","8-speed automatic",5
204043,,"Silver","Gasoline (I-4)","CVT",5
224213,,"Navy Blue","Turbocharged Gas I4","8-speed automatic",5
617934,,"White","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
202189,,"Black","Gas","6-speed shiftable automatic",5
854448,,"Black","Turbocharged Gas I4","8-speed automatic",5
13451,,"White","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
680763,,"Red","Gas (V6)","8-speed shiftable automatic",7
453803,,"Black","Gas","6-speed shiftable automatic",5
260722,,"Black","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
809093,,"Silver","Gas/Electric I-4","CVT w/OD",5
513289,76111,"White","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
820294,,"Navy Blue","Turbocharged Gas I4","8-speed automatic",5
869525,,"Red","Gasoline (I-4)","Continuously variable-speed automatic",5
348349,,"Grey","Turbocharged Gas 3-Cyl","6-speed automatic",5
114521,,"White","Gas","10-speed shiftable automatic",5
195048,,"Red","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
86652,,"Navy Blue","Gas (V6)","8-speed shiftable automatic",7
890191,,"Navy Blue","Gasoline (V6)","9-speed automatic",5
282237,,"Red","Gas/Electric I-4","CVT w/OD",5
291640,,"Navy Blue","Gas/Electric I-4","CVT",5
545943,,"Black","Turbocharged Gas I4","8-speed automatic",5
261775,,"Red","Gas","6-speed shiftable automatic",5
246933,,"Red","Gasoline (V6)","Xtronic CVT®",5
439790,,"White","V6","10-speed automatic",8
123452,,"Black","Gas/Electric I-4","CVT w/OD",5
266970,,"Grey","Gas","6-speed shiftable automatic",5
925883,,"Black","Turbocharged Gas I4","6-speed automatic",3
258252,,"Silver","Gas (V6)","8-speed shiftable automatic",7
338560,,"Red","Gas/Electric I-4","CVT w/OD",5
915073,,"White","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
741155,,"Black","Turbocharged Gas I4","6-speed automatic",3
217135,,"Black","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
761917,,"Navy Blue","Gas/Electric I-4","CVT",5
622223,,"Navy Blue","Gas (V6)","9-speed automatic",5
395083,47081,"Black","Gas (V6)","8-speed shiftable automatic",7
867914,,"Black","Gasoline (I-4)","CVT",5
930019,,"Navy Blue","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
584329,,"Red","Gas","10-speed shiftable automatic",5
281988,,"White","Gasoline (V6)","9-speed automatic",5
660760,64027,"Navy Blue","Gas/Electric I-4","CVT w/OD",5
323267,,"Red","V6","10-speed automatic",8
438528,,"Navy Blue","Gasoline (V6)","9-speed automatic",5
318641,,"Silver","Gasoline (I-4)","Continuously variable-speed automatic",5
599248,,"Black","Gasoline (V6)","8-speed shiftable automatic",7
632328,,"Black","Turbocharged Gas I4","8-speed automatic",5
633092,14515,"White","Electric (Battery-powered)","PowerSplit: Electronic continuously variable transmission",5
758692,,"White","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
263655,,"Black","Gas (V6)","8-speed shiftable automatic",7
174442,,"White","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
386429,,"Navy Blue","Turbocharged Gas I4","8-speed automatic",5
399380,,"Red","Gas","6-speed shiftable automatic",5
830016,52808,"Grey","Electric (Battery-powered)","Automatic",5
180459,,"White","Gas (V6)","8-speed shiftable automatic",7
510606,,"Navy Blue","Gas","8-speed automatic",5
12534,,"White","Gas (V6)","9-speed automatic",5
203122,33828,"Black","Gas","10-speed shiftable automatic",5
622071,,"Navy Blue","Gas","10-speed shiftable automatic",5
709728,,"Navy Blue","Electric (Battery-powered)","PowerSplit: Electronic continuously variable transmission",5
832894,,"Black","V6","10-speed automatic",8
311212,47724,"Grey","Gas","10-speed shiftable automatic",5
350826,41153,"White","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
43078,47679,"Black","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
281130,,"Grey","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
411756,,"Black","Gasoline (V6)","Xtronic CVT®",5
943611,,"Red","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
472801,61922,"Silver","Gas (V6)","9-speed automatic",5
341554,,"Black","V6","10-speed automatic",8
131165,,"White","Gas","10-speed shiftable automatic",5
72424,,"Silver","Gas/Electric I-4","CVT",5
962009,,"Navy Blue","V6","10-speed automatic",8
527262,,"White","Gasoline (I-4)","Continuously variable-speed automatic",5
362487,,"Navy Blue","V6","10-speed automatic",8
494633,,"Silver","Gasoline (I-4)","CVT",5
464396,,"Navy Blue","Gas (V6)","8-speed shiftable automatic",7
552626,,"White","Turbocharged Gas I4","8-speed automatic",5
29683,48650,"Red","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
219592,68872,"Black","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
576878,,"White","Turbocharged Gas I4","6-speed automatic",3
718366,,"Red","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
125419,,"Black","Turbocharged Gas I4","6-speed automatic",3
715774,,"Black","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
371074,,"White","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
166939,8336,"Red","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
586196,,"Navy Blue","Gas/Electric I-4","CVT w/OD",5
467945,,"Grey","Gasoline (V6)","9-speed automatic",5
789743,,"Red","Gas/Electric I-4","CVT w/OD",5
259821,,"Black","Gasoline (V6)","8-speed shiftable automatic",7
939463,,"Black","V6","10-speed automatic",8
720136,,"Navy Blue","Gasoline (V6)","Xtronic CVT®",5
957398,,"Grey","Gas (V6)","8-speed shiftable automatic",7
185198,,"Grey","Turbocharged Gas I4","6-speed automatic",3
990635,,"Silver","Gas/Electric I-4","CVT",5
435374,,"Grey","V6","10-speed automatic",8
479804,,"Red","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
580320,,"Silver","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
170820,,"Navy Blue","Electric (Battery-powered)","Automatic",5
545816,,"Silver","Gas/Electric I-4","CVT",5
531629,,"Navy Blue","Gasoline (V6)","8-speed shiftable automatic",7
406121,,"Red","Electric (Battery-powered)","Automatic",5
955165,,"Red","Turbocharged Gas I4","6-speed automatic",3
946653,,"White","Gas","10-speed shiftable automatic",5
902250,,"Red","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
674612,,"Red","Gasoline (V6)","Xtronic CVT®",5
117489,,"Red","Turbocharged Gas I4","6-speed automatic",3
214126,,"Red","Gasoline (V6)","8-speed shiftable automatic",7
984356,,"Navy Blue","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
557078,,"Navy Blue","Gasoline (V6)","8-speed shiftable automatic",7
848994,,"Red","V6","10-speed automatic",8
337098,,"White","Gas","6-speed shiftable automatic",5
101411,,"Green","Turbocharged Gas I4","6-speed automatic",3
829935,,"Black","Gas (V6)","9-speed automatic",5
834248,10715,"Green","V6","10-speed automatic",8
62788,,"Navy Blue","Turbocharged Gas 3-Cyl","6-speed automatic",5
2418,,"Grey","Gasoline (V6)","8-speed shiftable automatic",7
117947,,"Red","Turbocharged Gas I4","6-speed automatic",3
696776,27430,"Navy Blue","Gasoline (V6)","8-speed shiftable automatic",7
463622,,"Navy Blue","Gas (V6)","9-speed automatic",5
89559,,"Red","Turbocharged Gas 3-Cyl","6-speed automatic",5
667073,,"Grey","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
119714,,"Black","Gas","10-speed shiftable automatic",5
159762,,"Grey","Gasoline (V6)","8-speed shiftable automatic",7
312601,,"Navy Blue","Gas","10-speed shiftable automatic",5
231870,,"Black","Gas (V6)","9-speed automatic",5
62529,,"Red","Gas","10-speed shiftable automatic",5
11796,,"White","V6","10-speed automatic",8
507380,,"Navy Blue","Gas","10-speed shiftable automatic",5
207902,,"Black","Gas (V6)","8-speed shiftable automatic",7
401057,,"Black","Electric (Battery-powered)","Automatic",5
620588,,"Red","Turbocharged Gas I4","8-speed automatic",5
632708,,"Navy Blue","Turbocharged Gas I4","8-speed automatic",5
765137,62375,"Black","Gas/Electric I-4","CVT",5
1784,,"White","Gasoline (V6)","8-speed shiftable automatic",7
661906,,"Red","Gas","10-speed shiftable automatic",5
641334,63558,"Black","Gas/Electric I-4","CVT w/OD",5
962189,,"Silver","Gas/Electric I-4","CVT w/OD",5
895924,,"Red","V6","10-speed automatic",8
379684,,"Black","Electric (Battery-powered)","PowerSplit: Electronic continuously variable transmission",5
759486,,"Grey","Gas/Electric I-4","CVT",5
220563,,"Black","Turbocharged Gas 3-Cyl","6-speed automatic",5
481771,,"Red","Gasoline (I-4)","Continuously variable-speed automatic",5
79548,,"Black","Gas/Electric I-4","CVT w/OD",5
837145,,"Red","Gas","6-speed shiftable automatic",5
205853,,"White","Gas/Electric I-4","CVT",5
852580,,"White","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
344386,,"Silver","Gas (V6)","8-speed shiftable automatic",7
830223,,"Silver","Gasoline (V6)","Xtronic CVT®",5
33774,,"Grey","V6","10-speed automatic",8
905077,,"Silver","Gasoline (I-4)","Continuously variable-speed automatic",5
8145,,"White","V6","10-speed automatic",8
727359,,"Grey","Turbocharged Gas I4","6-speed automatic",3
57817,,"Grey","Gasoline (V6)","8-speed shiftable automatic",7
974517,,"Grey","Turbocharged Gas 3-Cyl","6-speed automatic",5
458287,,"Green","Gasoline (I-4)","CVT",5
328053,15162,"Red","Gasoline (V6)","Xtronic CVT®",5
857405,,"White","Electric (Battery-powered)","PowerSplit: Electronic continuously variable transmission",5
875595,77191,"White","Gasoline (I-4)","Continuously variable-speed automatic",5
295021,,"White","Turbocharged Gas I4","6-speed automatic",3
836716,,"Silver","Gasoline (V6)","8-speed shiftable automatic",7
647327,,"Black","Electric (Battery-powered)","PowerSplit: Electronic continuously variable transmission",5
858109,,"Red","Gas (V6)","8-speed shiftable automatic",7
125903,,"Black","Gas (V6)","8-speed shiftable automatic",7
831265,,"Grey","Electric (Battery-powered)","Automatic",5
666609,,"Red","Turbocharged Gas 3-Cyl","6-speed automatic",5
686788,20733,"White","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
845524,,"Black","Gas/Electric I-4","CVT w/OD",5
53164,38951,"Navy Blue","Gasoline (V6)","9-speed automatic",5
672581,,"Red","Gasoline (V6)","Xtronic CVT®",5
285451,,"Navy Blue","Gas","6-speed shiftable automatic",5
863258,,"Red","Gasoline (I-4)","CVT",5
156280,,"Red","Gasoline (I-4)","CVT",5
146315,,"Black","Turbocharged Gas 3-Cyl","6-speed automatic",5
615178,,"Grey","Electric (Battery-powered)","Automatic",5
272382,,"Silver","Gasoline (V6)","8-speed shiftable automatic",7
510767,,"Red","Turbocharged Gas I4","8-speed automatic",5
520097,,"White","Electric (Battery-powered)","Automatic",5
806141,,"White","Gas (V6)","8-speed shiftable automatic",7
973866,47385,"Black","Gasoline (V6)","8-speed shiftable automatic",7
790110,,"Black","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
178804,,"Black","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
49555,,"Black","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
740199,,"Black","Gasoline (I-4)","CVT",5
235593,,"White","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
314611,,"Red","Gasoline (I-4)","Continuously variable-speed automatic",5
477557,13263,"White","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
305109,,"White","Gasoline (I-4)","Continuously variable-speed automatic",5
768565,,"Black","Gasoline (I-4)","Continuously variable-speed automatic",5
409366,,"Navy Blue","V6","10-speed automatic",8
537946,62640,"Black","Gasoline (V6)","8-speed shiftable automatic",7
651839,,"Red","Gasoline (V6)","Xtronic CVT®",5
193591,,"Black","Turbocharged Gas 3-Cyl","6-speed automatic",5
762382,42385,"White","Gas/Electric I-4","CVT w/OD",5
75786,,"Black","Gasoline (V6)","8-speed shiftable automatic",7
810623,,"Grey","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
218083,,"White","Turbocharged Gas I4","6-speed automatic",3
822803,,"Red","Gas","10-speed shiftable automatic",5
428620,,"Red","Turbocharged Gas I4","8-speed automatic",5
17310,,"Grey","Turbocharged Gas I4","6-speed automatic",3
814924,,"Grey","V6","10-speed automatic",8
737071,,"Red","Turbocharged Gas 3-Cyl","6-speed automatic",5
624534,,"Red","Gas (V6)","8-speed shiftable automatic",7
741558,,"Red","Gas (V6)","8-speed shiftable automatic",7
613379,,"Grey","Electric (Battery-powered)","Automatic",5
711639,,"Red","Turbocharged Gas I4","8-speed automatic",5
916992,,"White","Turbocharged Gas I4","6-speed automatic",3
719086,45960,"White","Gasoline (I-4)","Continuously variable-speed automatic",5
449636,,"Silver","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
516143,,"Green","Gasoline (V6)","9-speed automatic",5
630274,50738,"Grey","Gasoline (V6)","Xtronic CVT®",5
125807,,"Red","Electric (Battery-powered)","PowerSplit: Electronic continuously variable transmission",5
290373,,"Black","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
321151,,"White","Turbocharged Gas I4","6-speed automatic",3
398163,,"Red","Gas","6-speed shiftable automatic",5
372161,29934,"Silver","Electric (Battery-powered)","PowerSplit: Electronic continuously variable transmission",5
913513,72896,"Red","Gasoline (V6)","Xtronic CVT®",5
303747,,"Black","Gas","10-speed shiftable automatic",5
530918,,"White","Gas","10-speed shiftable automatic",5
539219,,"Red","Turbocharged Gas 3-Cyl","6-speed automatic",5
558987,,"White","Gas/Electric I-4","CVT",5
741242,,"Red","Turbocharged Gas 3-Cyl","6-speed automatic",5
270936,,"Red","Gasoline (V6)","8-speed shiftable automatic",7
847779,,"Silver","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
604806,,"Red","V6","10-speed automatic",8
858726,,"Green","Electric (Battery-powered)","PowerSplit: Electronic continuously variable transmission",5
582470,,"Grey","V6","10-speed automatic",8
272476,,"Black","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
680150,,"Silver","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
958875,,"Silver","Gas","10-speed shiftable automatic",5
224542,,"Black","Turbocharged Gas I4","6-speed automatic",3
713856,,"Red","Hybrid (2.5L FHEV)","PowerSplit: Electronic continuously variable transmission",5
788318,,"Red","Turbocharged Gas I4","8-speed automatic",5
592765,43301,"White","Gasoline (V6)","9-speed automatic",5
342361,41833,"Grey","Turbocharged Gas 3-Cyl","6-speed automatic",5
457325,,"Black","Gas (V6)","8-speed shiftable automatic",7
247144,,"Black","Gas/Electric I-4","CVT",5
688585,72875,"White","Gasoline (V6)","8-speed shiftable automatic",7
652040,,"Red","Turbocharged Gas I4","8-speed automatic",5
505005,,"White","Gas","6-speed shiftable automatic",5
873348,,"Red","Gas","10-speed shiftable automatic",5
874314,,"White","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
704654,,"Navy Blue","Turbocharged Gas I4","8-speed automatic",5
941525,,"Black","Gas","6-speed shiftable automatic",5
834868,31077,"Grey","Gas (V6)","9-speed automatic",5
843839,,"Red","V6","10-speed automatic",8
574690,,"Black","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
721989,54366,"Red","Gas","8-speed automatic",5
287446,,"Red","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
577912,,"Navy Blue","Gas","6-speed shiftable automatic",5
188801,,"Red","Gas/Electric I-4","CVT",5
697797,,"Grey","Gasoline (V6)","9-speed automatic",5
659697,,"Black","Gasoline (V6)","9-speed automatic",5
313159,,"Black","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
718419,,"Black","Gasoline (V6)","8-speed shiftable automatic",7
413441,,"Red","Gas","10-speed shiftable automatic",5
672843,,"Grey","Gas/Electric I-4","CVT w/OD",5
442816,,"Black","Gas/Electric I-4","CVT",5
835555,24800,"Grey","Turbocharged Gas I4","6-speed automatic",3
920933,,"Red","Turbocharged Gas 3-Cyl","6-speed automatic",5
163138,39283,"Black","Gasoline (I-4)","Continuously variable-speed automatic",5
352741,65632,"Silver","Gas","10-speed shiftable automatic",5
164097,,"Navy Blue","Gasoline (I-4)","Continuously variable-speed automatic",5
375636,,"White","Turbocharged Gas I4","8-speed automatic",5
64813,,"Black","Gas/Electric I-4","CVT w/OD",5
412996,,"Red","V6","10-speed automatic",8
279229,54156,"Black","Gasoline (Petrol)","Continuously variable-speed automatic (CVT)",5
367950,,"Grey","Gas","10-speed shiftable automatic",5
198847,,"White","Turbocharged Gas I4","8-speed automatic",5
691371,,"White","Electric (Battery-powered)","Automatic",5
524280,,"Grey","Gas/Electric I-4","CVT",5
541901,,"White","V6","10-speed automatic",8
4488,,"White","Gasoline (V6)","8-speed shiftable automatic",7
320322,33588,"Grey","Gas (V6)","8-speed shiftable automatic",7
79323,,"White","Gasoline (I-4)","Continuously variable-speed automatic",5
103123,,"Red","Gas (V6)","8-speed shiftable automatic",7
